uid,sex,yrborn,col_area,dam,sire,cuid,fur_mark,age,year
4414_9552,M,2025,picnic_upper,,,4414_9552,jojo_siwa,P,2025
4463_6212,F,2022,gothictown,7712_7379,,4463_6212,bobble_hat,A,2025
4508_4512,F,2004,picnic_lower,19_46,,,,,
4692_4681,F,2004,boulder,2510_2514,4900_4877,,,,
48_47,F,1999,picnic_lower,2201_2202,1575_1579,,,,
4901_5896,F,2005,picnic_lower,2822_2876,2773_2775,,,,
5263_5249,F,2007,mm_maintalus,5965_5957,4058_4720,,,,
5285_5088,F,2006,mm_maintalus,2688_2691,4058_4720,,,,
5501_5503,F,2007,picnic_lower,3166_3174,4190_4567,,,,
5540_5546,F,2008,picnic_lower,5236_5230,4948_4959,,,,
6687_6677,F,2012,river_rivermound,4837_4831,4996_4107,7191_9450,musical_note,A,2023
6779_6729,F,2009,picnic_lower,5236_5230,,,,,
6794_6799,F,2009,picnic_middle,5739_5733,4655_4665,,,,
6835_6898,F,2010,boulder,4047_5802,5551_5564,,,,
7131_7126,F,2012,picnic_lower,4508_4512,4948_4959,,,,
7289_6695,F,2013,picnic_lower,6779_6729,6931_6721,,,,
7365_7368,F,2014,picnic_lower,7131_7126,7445_noear,,,,
7407_7412,F,2013,cliff_upper,4200_5578,6720_6707,,,,
7559_7225,F,2012,boulder,,,,,,
7565_7355,F,2014,picnic_lower,7964_7955,,,,,
7635_7645,F,2015,northpk,7604_7648,,8744_9436,glasses,A,2024
7698_7699,F,2015,mm_aspen,6385_6342,7307_7309,,,,
7712_7379,F,2017,gothictown,7880_7885,8424_8420,7712_7379,percent,A,2025
7733_7734,F,2015,mm_aspen,6385_6342,7307_7309,,,,
8080_9845,F,2025,river_rivermound,,,8080_9845,five_dot,P,2025
8089_8088,F,2016,mm_aspen,6385_6342,7307_7309,8737_8088,gamma,A,2024
8203_8206,F,2016,northpk,7590_7023,7301_7302,8203_8206,up_arrow,A,2023
8246_8319,F,2017,picnic_lower,7131_7126,7300_7374,9150_9816,crescent_moon,A,2025
8254_8259,F,2017,avalanche,7810_7238,8424_8420,8254_8259,hashtag,A,2024
8281_8332,F,2021,horsemound,8514_6207,8529_8535,8281_8332,outlet,A,2023
8383_8380,F,2018,gothictown,7187_7189,7526_7995,8383_8380,male_sign,A,2023
8429_8725,F,2019,gothictown,7310_7303,7526_7995,8429_9345,spiral,A,2024
8476_8478,F,2017,mm_maintalus,6385_6342,7307_7309,8731_8478,spider,A,2025
8480_8352,F,2018,northpk,6835_6898,7381_8185,10206_10208,dotted_zigzag,A,2025
8491_8492,F,2017,mm_maintalus,6385_6342,7307_7309,9205_9018,balloon,A,2025
8513_8503,F,2018,bench,6687_6677,8196_8200,10087_8503,female_sign,A,2024
8536_7837,F,2018,bench,6687_6677,8196_8200,8598_7837,wave_dot,A,2024
8592_8249,M,N/A,rvannex,,,8592_8782,average,A,2024
8606_9166,F,2021,gothictown,,6218_6213,8606_9166,wine,A,2024
8621_8609,M,2023,picnic_lower,,,8621_8609,onion,Y,2024
8649_8640,F,2020,picnic_lower,6127_7339,8661_9020,9027_9504,1,A,2025
8673_8664,F,2020,gothictown,7712_7379,7983_7961,8673_noear,head_neck_blot,A,2023
8680_8696,F,2020,picnic_lower,6127_7339,8922_8901,8680_8696,x_dot,A,2024
8689_8684,M,2020,northpk,8146_8147,8922_8901,9094_9301,filled_in_cloud,A,2024
